,State,Year,Grade,Population,Incidences,Killed,Wounded,Total_Injured_Killed_Victims,Number_of_Shots_Fired
32,CA,2016,A,39296476,1.0,0.0,4.0,4.0,0.0
33,CA,2017,A,39536653,6.0,9.0,26.0,35.0,1.0
34,CA,2018,A,39557045,6.0,0.0,9.0,9.0,5.0
35,CO,2012,D,5186330,0.0,0.0,0.0,0.0,0.0
36,CO,2013,C,5262556,1.0,2.0,0.0,2.0,1.0
37,CO,2014,C-,5342311,0.0,0.0,0.0,0.0,0.0
38,CO,2015,C-,5440445,0.0,0.0,0.0,0.0,0.0
39,CO,2016,C,5530105,3.0,2.0,1.0,3.0,3.0
40,CO,2017,C,5607154,1.0,0.0,3.0,3.0,0.0
41,CO,2018,C,5695564,1.0,0.0,1.0,1.0,1.0
42,CT,2012,B,3597705,1.0,28.0,2.0,30.0,0.0
43,CT,2013,A-,3602470,0.0,0.0,0.0,0.0,0.0
44,CT,2014,A-,3600188,1.0,0.0,1.0,1.0,0.0
45,CT,2015,A-,3593862,1.0,1.0,3.0,4.0,0.0
46,CT,2016,A-,3587685,1.0,0.0,1.0,1.0,0.0
47,CT,2017,A-,3588184,0.0,0.0,0.0,0.0,0.0
48,CT,2018,A-,3572665,0.0,0.0,0.0,0.0,0.0
49,DE,2012,C,916868,0.0,0.0,0.0,0.0,0.0
50,DE,2013,B-,925114,0.0,0.0,0.0,0.0,0.0
51,DE,2014,B-,934805,0.0,0.0,0.0,0.0,0.0
52,DE,2015,B,944107,0.0,0.0,0.0,0.0,0.0
53,DE,2016,B,952698,1.0,0.0,0.0,0.0,1.0
54,DE,2017,B,961939,0.0,0.0,0.0,0.0,0.0
55,DE,2018,B,967171,1.0,1.0,0.0,1.0,0.0
56,FL,2012,D-,19341327,1.0,2.0,0.0,2.0,0.0
57,FL,2013,F,19584927,5.0,3.0,4.0,7.0,4.0
58,FL,2014,F,19897747,4.0,3.0,2.0,5.0,2.0
59,FL,2015,F,20268567,4.0,0.0,6.0,6.0,3.0
60,FL,2016,F,20656589,2.0,0.0,1.0,1.0,2.0
61,FL,2017,F,20984400,2.0,1.0,0.0,1.0,2.0
62,FL,2018,C-,21299325,6.0,18.0,23.0,41.0,3.0
63,GA,2012,D,9911171,1.0,1.0,0.0,1.0,1.0
64,GA,2013,F,9981773,4.0,0.0,3.0,3.0,2.0
65,GA,2014,F,10083850,2.0,1.0,0.0,1.0,0.0
66,GA,2015,F,10199533,3.0,0.0,1.0,1.0,3.0
67,GA,2016,F,10313620,1.0,0.0,1.0,1.0,1.0
68,GA,2017,F,10429379,3.0,0.0,3.0,3.0,3.0
69,GA,2018,F,10519475,4.0,1.0,3.0,4.0,3.0
70,HI,2012,B,1392772,0.0,0.0,0.0,0.0,0.0
71,HI,2013,B+,1408038,0.0,0.0,0.0,0.0,0.0
72,HI,2014,B+,1417710,1.0,0.0,2.0,2.0,1.0
73,HI,2015,B+,1426320,0.0,0.0,0.0,0.0,0.0
74,HI,2016,A-,1428683,0.0,0.0,0.0,0.0,0.0
75,HI,2017,A-,1427538,0.0,0.0,0.0,0.0,0.0
76,HI,2018,A-,1420491,0.0,0.0,0.0,0.0,0.0
77,IA,2012,C-,3074386,0.0,0.0,0.0,0.0,0.0
78,IA,2013,C-,3089876,1.0,1.0,0.0,1.0,1.0
79,IA,2014,C-,3105563,2.0,0.0,2.0,2.0,1.0
